# 瞬发类技能（Instant）：按下预览、松开即结算，不需要选取单位
# shape: self_ring=自身环形 / line=方向突进 / projectile=弹体 / summon=召唤 / none=纯增益
id	name	icon	quality	school	cast_type	cast_mode	shape	target_side	damage	radius	range	duration	ground	tick_interval	cooldown	energy_cost	effects	augment_effects	tags	description
ice_ring	冰环	res://assets/skills/skill_icon_00.png	white	ice	active	instant	self_ring	enemy	30	140	0	0	false	0.5	8	20	freeze=1.5		ice,aoe,control	以自身为中心释放冰环，冻结周围敌人1.5秒。
guard_field	守御场	res://assets/skills/skill_icon_01.png	blue	physical	active	instant	self_ring	enemy	50	140	0	0	false	0.5	15	25	self_heal_pct=0.5		aoe,shield	范围冲击，结束按伤害回血。
lightning_nova	闪电新星	res://assets/skills/skill_icon_02.png	purple	lightning	active	instant	self_ring	enemy	70	140	0	0	false	0.5	6	30	chain=5		lightning,aoe	释放环形闪电，连锁弹射5个目标。
whirlwind	旋风斩	res://assets/skills/skill_icon_18.png	white	physical	active	instant	self_ring	enemy	28	130	0	0	false	0.5	7	22			physical,aoe	纯物理环绕斩击，可移动中施放。
war_stomp	战争践踏	res://assets/skills/skill_icon_20.png	blue	physical	active	instant	self_ring	enemy	40	150	0	0	false	0.5	9	20	stun=1.5		physical,aoe,control	自身范围震击，眩晕敌人1.5秒。
fan_of_knives	刀扇	res://assets/skills/skill_icon_09.png	blue	physical	active	instant	self_ring	enemy	45	130	0	0	false	0.5	6	20			physical,aoe	向四周掷出飞刀，范围伤害。
frost_nova	霜冻新星	res://assets/skills/skill_icon_00.png	blue	ice	active	instant	self_ring	enemy	50	150	0	0	false	0.5	9	30	freeze=1.0;slow=0.4		ice,aoe,control	自身范围冰霜伤害，冻结并减速敌人。
sleep	睡眠	res://assets/skills/skill_icon_12.png	blue	nature	active	instant	self_ring	enemy	20	150	0	0	false	0.5	12	30	sleep=3.0		nature,control	使周围敌人陷入沉睡，3秒内无法行动。
silence	沉默	res://assets/skills/skill_icon_13.png	blue	shadow	active	instant	self_ring	enemy	25	150	0	0	false	0.5	11	30	silence=3.0		shadow,control	使周围敌人沉默，无法使用特殊攻击。
tranquility	宁静	res://assets/skills/skill_icon_14.png	purple	nature	active	instant	self_ring	ally	0	220	0	0	false	0.5	20	40	heal_amount=80.0		nature,heal	范围内治疗自己与召唤物80点生命。
